product_id,name,product_added_date,brand,current_vendor,category_name_1,request_path_1,category_name_2,request_path_2,category_name_3,request_path_3,category_name_4,request_path_4,product_url,parent_product_id,current_price,current_cost,current_margin,current_ship_price,msrp,comparable_price,current_inventory,current_status,distinct_users_viewed_30,distinct_users_viewed_60,distinct_users_viewed_90,distinct_users_parent_carted_30,distinct_users_parent_carted_60,distinct_users_parent_carted_90,demand_30_days,demand_90_days,catalog_demand_30_days_rank,catalog_demand_90_days_rank,revenue_30_days,revenue_90_days,catalog_revenue_30_days_rank,catalog_revenue_90_days_rank
417366,Adesso - Orbit 1120 Dash Cam,9/4/2024,Adesso,D&H,Auto,auto,Audio/Video,auto/audio,Dash Cams,auto/audio/video,,,https://app.perpay.com/shop/product/417366,,141.99,82.13,59.86,16.99,119.99,119.99,7,Disabled,69,329,467,5,28,47,425.97,2805.77,,,118.99,475.96,,
306271,PetSafe - Rechargeable Fence System 14 gauge WiseWire,4/12/2019,PetSafe,UTM Distributing,Home,home,Pet,home/pet,Pet Essentials,home/pet/petessentials,Gates & Fencing Systems,home/pet/petessentials/gates-fencingsystems,https://app.perpay.com/shop/product/306271,315552,479.99,241.96,238.03,19.99,279.95,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
409248,"Bloem - Mathers Round Planter with Saucer Tray, 12"", Black",6/19/2024,Bloem,Flat River,Outdoor Living & Garden,outdoorliving-garden,Lawn & Garden,outdoorliving-garden/lawn-garden,Pots & Planters,outdoorliving-garden/lawn-garden/pots-planters,,,https://app.perpay.com/shop/product/409248,409124,33.99,15.75,18.24,19.99,39.99,29.99,13,Enabled,0,0,0,0,0,0,0,101.97,12403,13275,0,67.98,8025,9943
334555,Yokohama - Geolandar M/T G003 - LT255/75R17,10/19/2020,Yokohama,Simple Tire,Auto,auto,Tires,auto/tires,Light Truck/SUV,auto/tires/lighttruck,Mud Terrain,auto/tires/lighttruck/suv,https://app.perpay.com/shop/product/334555,,479.99,266.18,213.81,14.99,199.47,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
339738,ScooterX - Dirt Dog 49cc Scooter - Red,3/9/2021,ScooterX,Big Toys USA,Baby & Kids,baby-kids,Recreation,baby-kids/recreation,Bikes & Scooters,baby-kids/recreation/bikes-scooters,Electric Scooters,baby-kids/recreation/bikes-scooters/electricscooters,https://app.perpay.com/shop/product/339738,339637,779.99,410,369.99,99.99,479,,3,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
376128,Lugz - Men's Drifter 6 ST Boot - Black - 11.0,9/13/2022,Lugz,Lugz,"Clothing, Shoes & Accessories",clothing-shoes-accessories,Shoes,clothing-shoes-accessories/shoes,Men's Shoes,clothing-shoes-accessories/shoes/men-sshoes,Boots,clothing-shoes-accessories/shoes/men-sshoes/boots,https://app.perpay.com/shop/product/376128,374878,79.99,35.74,44.25,14.99,69.99,69.99,47,Enabled,0,0,0,0,0,0,0,0,12403,15107,0,0,8025,10964
369508,Bliss Hammocks - 60 Wide Cotton Rope Hammock - Brown,5/9/2022,Bliss Hammocks,Rymax,Outdoor Living & Garden,outdoorliving-garden,Outdoor Furniture & Decor,outdoorliving-garden/outdoorfurniture-decor,Outdoor Furniture,outdoorliving-garden/outdoorfurniture-decor/outdoorfurniture,Porch Swings & Hammocks,outdoorliving-garden/outdoorfurniture-decor/outdoorfurniture/porchswings-hammocks,https://app.perpay.com/shop/product/369508,,130.99,60,70.99,36.99,100,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
406681,"Continental - CrossContact LX25, 235/60R18, 103H",6/4/2024,Continental,Simple Tire,Auto,auto,Tires,auto/tires,Light Truck/SUV,auto/tires/lighttruck,All Season,auto/tires/lighttruck/suv,https://app.perpay.com/shop/product/406681,,387.99,212.32,175.67,14.99,289.99,289.99,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
425669,"LumiSource - Cylinder Ash Wood Table Lamp, Ash",10/15/2024,LumiSource,Lumisource,Home,home,Lighting,home/lighting,Table & Floor Lamps,home/lighting/table-floorlamps,Table Lamps,home/lighting/table-floorlamps/tablelamps,https://app.perpay.com/shop/product/425669,,99.99,51,48.99,21.99,85,85,21,Enabled,6,11,13,2,2,3,0,99.99,12403,13296,0,99.99,8025,8963
373605,Julia Jewelry - Round Cut Black Diamond Studs - 0.08 CT TW,7/28/2022,Julia Jewelry,MAS Premium,Handbags & Jewelry,handbags-jewelry,Fashion Jewelry,handbags-jewelry/fashionjewelry,Earrings,handbags-jewelry/fashionjewelry/earrings,,,https://app.perpay.com/shop/product/373605,388557,70.99,28,42.99,14.99,54.99,,5,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
289556,Shimano - AX Spinning Reel Reversible,8/10/2018,Shimano,Power Sales,Lifestyle & Recreation,lifestyle-recreation,Recreation,lifestyle-recreation/recreation,Hunting & Fishing,lifestyle-recreation/recreation/hunting-fishing,,,https://app.perpay.com/shop/product/289556,,31.99,16,15.99,14.99,22.99,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
416682,"Fitbit - Inspire 3 Smart Band and Tracker, Morning Glow/Black",8/21/2024,Fitbit,D&H,Electronics,electronics,Wearable Technology,electronics/wearabletechnology,Activity Trackers,electronics/wearabletechnology/activitytrackers,,,https://app.perpay.com/shop/product/416682,,116.99,71.2,45.79,16.99,99.95,99.95,417,Enabled,67,122,199,3,11,17,0,935.92,12403,6922,116.99,584.95,5889,4591
230433,"Surya - Riley 5' 3"" by 7' 6"" Chocolate Modern Rug",7/29/2014,Surya,Surya,Home,home,Rugs & Decor,home/rugs-decor,Rugs,home/rugs-decor/rugs,Area Rugs,home/rugs-decor/rugs/arearugs,https://app.perpay.com/shop/product/230433,,169.99,66,103.99,34.99,219,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
382986,"Nike - Women's Tempo Running Shorts, Gunsmoke/Wolf Grey, XS",3/22/2023,Nike,Apex,"Clothing, Shoes & Accessories",clothing-shoes-accessories,Women's Clothing,clothing-shoes-accessories/women-sclothing,Activewear,clothing-shoes-accessories/women-sclothing/activewear,Active Bottoms,clothing-shoes-accessories/women-sclothing/activewear/activebottoms,https://app.perpay.com/shop/product/382986,,41.99,21.6,20.39,15.99,32,32,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
445762,"Hape - My Coffee Machine Wooden Kitchen Accessory, White",8/5/2025,Hape,Flat River,Toys & Baby,toys-baby,Toys,toys-baby/toys,Dress Up & Pretend Play,toys-baby/toys/dressup-pretendplay,,,https://app.perpay.com/shop/product/445762,,37.99,19.59,18.4,18.99,27.99,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
335058,Lugz - Men's Aspen Chukka Boot - 6.5 - Dk Grey/Blue Lake/Black,10/22/2020,Lugz,Lugz,"Clothing, Shoes & Accessories",clothing-shoes-accessories,Shoes,clothing-shoes-accessories/shoes,Men's Shoes,clothing-shoes-accessories/shoes/men-sshoes,Boots,clothing-shoes-accessories/shoes/men-sshoes/boots,https://app.perpay.com/shop/product/335058,335862,99.99,38.49,61.5,14.99,69.99,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
398654,"Baxton Studio - Harding Espresso Shoe-Storage Cabinet, Dark Brown",2/5/2024,Baxton Studio,Wholesale Interiors,Home,home,Furniture,home/furniture,Hall & Entry Furniture,home/furniture/hall-entryfurniture,Storage Cabinets,home/furniture/hall-entryfurniture/storagecabinets,https://app.perpay.com/shop/product/398654,,289.99,128,161.99,79.99,290,290,46,Enabled,3,7,13,0,0,0,0,0,12403,15107,0,0,8025,10964
174544,Cherokee - Women's WorkWear Snap Front Top,10/28/2013,Cherokee,Cherokee,Fashion & Beauty,fashion-beauty,Women,fashion-beauty/women,Clothing,fashion-beauty/women/clothing,Hospital Uniforms,fashion-beauty/women/clothing/hospitaluniforms,https://app.perpay.com/shop/product/174544,166396,25.99,10,15.99,4.99,30,,26,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
314651,Ashley Furniture - Mateja Pillow,6/28/2019,Ashley Furniture,Ashley Express,Home,home,Rugs & Decor,home/rugs-decor,Accent Pillows & Blankets,home/rugs-decor/accentpillows-blankets,Accent Pillows,home/rugs-decor/accentpillows-blankets/accentpillows,https://app.perpay.com/shop/product/314651,314460,38.99,18.62,20.37,5.99,29.99,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
299989,Goodyear - Eagle LS-2 - P225/65R16,11/28/2018,Goodyear,Simple Tire,Auto,auto,Tires,auto/tires,Passenger ,auto/tires/passenger,All Season,auto/tires/passenger/allseason,https://app.perpay.com/shop/product/299989,,313.99,170.67,143.32,14.99,137.52,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
444212,"LEE - Men's Riker Boot, British Tan Wax/Chocolate, 8",7/24/2025,Lee,Lee,"Clothing, Shoes & Accessories",clothing-shoes-accessories,Shoes,clothing-shoes-accessories/shoes,Men's Shoes,clothing-shoes-accessories/shoes/men-sshoes,Boots,clothing-shoes-accessories/shoes/men-sshoes/boots,https://app.perpay.com/shop/product/444212,,77.99,35,42.99,18.99,70,70,64,Enabled,0,0,0,0,0,0,0,0,12403,15107,0,0,8025,10964
407370,"Firestone - Destination LE3, 265/70R18, 116T",6/4/2024,Firestone,Simple Tire,Auto,auto,Tires,auto/tires,Passenger ,auto/tires/passenger,All Season,auto/tires/passenger/allseason,https://app.perpay.com/shop/product/407370,,339.99,188.83,151.16,14.99,294.99,294.99,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
315027,Four Paws - Magic Coat Instant mat Removing Comb,7/11/2019,Four Paws,UTM Distributing,Home,home,Pet,home/pet,Dog,home/pet/dog,Dog Supplies & Care,home/pet/dog/dogsupplies-care,https://app.perpay.com/shop/product/315027,,9.99,3.9,6.09,5.99,7.99,7.99,11,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
358765,Apple - Smart Folio for Apple iPad mini (6th Generation 2021) - English Lavender,9/28/2021,Apple,Best Buy,Electronics,electronics,Computers,electronics/computers,iPads & Tablets,electronics/computers/ipads-tablets,Accessories,electronics/computers/ipads-tablets/accessories,https://app.perpay.com/shop/product/358765,,86.99,59,27.99,14.99,,59,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
389403,"Lugz - Men's Sidewinder, Brown/Olivedrab/Charcoal/Black, 9",8/11/2023,Lugz,Lugz,"Clothing, Shoes & Accessories",clothing-shoes-accessories,Shoes,clothing-shoes-accessories/shoes,Men's Shoes,clothing-shoes-accessories/shoes/men-sshoes,Boots,clothing-shoes-accessories/shoes/men-sshoes/boots,https://app.perpay.com/shop/product/389403,389273,111.99,43.99,68,12.99,79.99,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
309777,Miller Mfg - Cage Cup 16 oz.,4/16/2019,Miller Mfg,Jacks Inc,Home,home,Pet,home/pet,Small Animal,home/pet/smallanimal,,,https://app.perpay.com/shop/product/309777,308453,9.99,2.7,7.29,5.99,2.86,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
360836,Radio Flyer - Big Flyer,10/28/2021,Radio Flyer,Rymax,Toys & Baby,toys-baby,Toys,toys-baby/toys,Riding Toys,toys-baby/toys/ridingtoys,,,https://app.perpay.com/shop/product/360836,,169.99,80.98,89.01,24.99,92,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
292853,OXO - Good Grips 22oz Stainless Steel Double Wall Travel Mug,9/5/2018,OXO,Power Sales,Kitchen & Dining,kitchen-dining,Glassware & Barware,kitchen-dining/glassware-barware,Drinkware,kitchen-dining/glassware-barware/drinkware,Coffee Mugs & Tea Cups,kitchen-dining/glassware-barware/drinkware/coffeemugs-teacups,https://app.perpay.com/shop/product/292853,,28.99,14.35,14.64,5.99,24.99,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
290343,OXO - Tot Cubby Stroller Charcoal,8/10/2018,OXO,Power Sales,Toys & Baby,toys-baby,Baby,toys-baby/baby,Strollers & Carriers,toys-baby/baby/strollers-carriers,,,https://app.perpay.com/shop/product/290343,,329.99,179.99,150,29.99,299.99,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
433150,"Dukap - Zahav 3-Piece Luggage Set,  20""/24""/28"", Teal",4/7/2025,Dukap,Fulfillment Services,Handbags & Jewelry,handbags-jewelry,Handbags & Wallets,handbags-jewelry/handbags-wallets,Luggage & Travel,handbags-jewelry/handbags-wallets/luggage-travel,Luggage,handbags-jewelry/handbags-wallets/luggage-travel/luggage,https://app.perpay.com/shop/product/433150,,255.99,126.5,129.49,22.99,349.99,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
345252,"iHome - Compact Digital Alarm Clock with USB and Qi Wireless Charging for iPhone 12, 11, XR, XS, X, 8, Galaxy S20, Z Flip, Fold, S10, S9, S8, Note 10, 9 and More",5/17/2021,iHome,D&H,Electronics,electronics,Personal Audio & Video,electronics/personalaudio-video,Smart Home,electronics/personalaudio-video/smarthome,Accessories,electronics/personalaudio-video/smarthome/accessories,https://app.perpay.com/shop/product/345252,,63.99,38.64,25.35,9.99,49.99,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
260456,Eau De Royal Secret by Five Star Fragrances EDT Spray,8/22/2016,Eau De Royal Secret,FragranceNet,Beauty,beauty,Fragrance,beauty/fragrance,Perfume,beauty/fragrance/perfume,,,https://app.perpay.com/shop/product/260456,258295,31.99,15.74,16.25,14.99,45,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
281717,Vtech - Kidizoom DX2 Smartwatch,4/20/2018,VTech,Best Buy,Electronics,electronics,Wearable Technology,electronics/wearabletechnology,Smart Watches,electronics/wearabletechnology/smartwatches,,,https://app.perpay.com/shop/product/281717,281627,89.99,53.98,36.01,14.99,59.99,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
347288,True & Tidy - 3-piece Mop Pad Replacement Set for SPRAY-250 Spray Mop - Gray,5/19/2021,True & Tidy,Almo,Home,home,Household Essentials,home/householdessentials,Cleaning Essentials,home/householdessentials/cleaningessentials,Cleaning Tools,home/householdessentials/cleaningessentials/cleaningtools,https://app.perpay.com/shop/product/347288,,17.99,13.8,4.19,9.99,19.99,14.99,21,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
318128,Swarovski - Nice Necklace - Gold-Plated,9/20/2019,Swarovski,Rymax,Handbags & Jewelry,handbags-jewelry,Fashion Jewelry,handbags-jewelry/fashionjewelry,Necklaces,handbags-jewelry/fashionjewelry/necklaces,,,https://app.perpay.com/shop/product/318128,,169.99,66.94,103.05,19.99,119,,0,Disabled,0,0,0,0,0,0,0,0,,,0,0,,
